Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2008,20,fr France,UEFA Euro,GR,2,2,167,1.9,0,,0,0,0,0,0,0.00,,,0.00,,,,,,,,,,,Matches
2008,20,fr France,Euro Qualifying,,5,2,195,2.2,2,,2,0,0,0,0,0.92,,,0.92,,,,,,,,,,,Matches
2010,22,fr France,WCQ,,8,3,364,4.0,2,,2,0,0,0,0,0.49,,,0.49,,,,,,,,,,,Matches
2012,24,fr France,UEFA Euro,QF,4,4,345,3.8,0,2,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,,,,,,,,,,Matches
2012,24,fr France,Euro Qualifying,,7,7,597,6.6,3,,3,0,0,0,0,0.45,,,0.45,,,,,,,,,,,Matches
2014,26,fr France,1. FIFA World Cup,QF,5,5,450,5.0,3,2,2,1,2,0,0,0.60,0.40,1.00,0.40,0.80,,,,,,,,,,Matches
2014,26,fr France,WCQ,,9,7,611,6.8,2,2,2,0,0,0,0,0.29,0.29,0.59,0.29,0.59,,,,,,,,,,Matches
2014,26,fr France,Friendlies (M),,8,5,492,5.5,4,3,4,0,0,0,0,0.73,0.55,1.28,0.73,1.28,,,,,,,,,,Matches
2015,27,fr France,Friendlies (M),,4,3,272,3.0,2,1,2,0,0,0,0,0.66,0.33,0.99,0.66,0.99,,,,,,,,,,Matches
2020-2021,32,fr France,UEFA Nations League,F,2,2,179,2.0,2,0,2,0,0,0,0,1.01,0.00,1.01,1.01,1.01,,,,,,,,,,Matches
2021,33,fr France,UEFA Euro,R16,4,4,346,3.8,4,0,3,1,1,0,0,1.04,0.00,1.04,0.78,0.78,3.0,2.2,0.2,2.5,0.78,0.06,0.84,0.58,0.65,Matches
2021,33,fr France,Friendlies (M),,2,2,130,1.4,0,1,0,0,1,0,0,0.00,0.69,0.69,0.00,0.69,,,,,,,,,,Matches
2022,34,fr France,WCQ,,5,3,296,3.3,3,1,3,0,0,1,0,0.91,0.30,1.22,0.91,1.22,,,,,,,,,,Matches
2022-2023,34,fr France,UEFA Nations League,LgA,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,,,,,,,,,,Matches
