Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2017,18,fr France,Friendlies (M),,4,4,327,3.6,0,3,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,,,,,,,,,,Matches
2018,19,fr France,1. FIFA World Cup,1st,7,6,532,5.9,4,0,4,0,0,2,0,0.68,0.00,0.68,0.68,0.68,1.7,1.7,0.7,2.5,0.29,0.12,0.42,0.29,0.42,Matches
2018,19,fr France,WCQ,,6,2,215,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,,,,,,,,,,Matches
2018,19,fr France,Friendlies (M),,7,6,461,5.1,4,2,3,1,1,1,0,0.78,0.39,1.17,0.59,0.98,,,,,,,,,,Matches
2018-2019,19,fr France,UEFA Nations League,6th,4,4,355,3.9,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,,,,,,,,,,Matches
2019,20,fr France,Friendlies (M),,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2020,21,fr France,Friendlies (M),,1,0,45,0.5,1,1,1,0,0,0,0,2.00,2.00,4.00,2.00,4.00,,,,,,,,,,Matches
2020-2021,21,fr France,UEFA Nations League,F,6,5,463,5.1,4,3,3,1,1,1,0,0.78,0.58,1.36,0.58,1.17,,,,,,,,,,Matches
2021,22,fr France,Euro Qualifying,,5,5,450,5.0,3,3,3,0,0,1,0,0.60,0.60,1.20,0.60,1.20,,,,,,,,,,Matches
2021,22,fr France,UEFA Euro,R16,4,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,1.5,1.5,1.4,2.9,0.35,0.32,0.67,0.35,0.67,Matches
2021,22,fr France,Friendlies (M),,2,2,155,1.7,1,1,1,0,0,0,0,0.58,0.58,1.16,0.58,1.16,,,,,,,,,,Matches
2022,23,fr France,Friendlies (M),,1,1,90,1.0,2,1,1,1,1,0,0,2.00,1.00,3.00,1.00,2.00,,,,,,,,,,Matches
2022,23,fr France,WCQ,,6,5,464,5.2,5,2,5,0,1,0,0,0.97,0.39,1.36,0.97,1.36,,,,,,,,,,Matches
2022-2023,23,fr France,UEFA Nations League,LgA,3,2,163,1.8,1,0,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,,,,,,,,,,Matches
