Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2014-2015,22,Southampton,eng ENG,League Cup,5th,2,2,140,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2015-2016,23,Southampton,eng ENG,FA Cup,33rd,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2015-2016,23,Southampton,eng ENG,League Cup,5th,2,2,154,1.7,3,0,3,0,0,0,0,1.75,0.00,1.75,1.75,1.75,Matches
2016-2017,24,Liverpool,eng ENG,EFL Cup,3rd,2,2,180,2.0,0,2,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches
2017-2018,25,Liverpool,eng ENG,FA Cup,17th,2,2,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2018-2019,26,Liverpool,eng ENG,EFL Cup,17th,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2018-2019,26,Liverpool,eng ENG,FA Cup,33rd,0,0,,,,,,,,,,,,,,,Matches
2019-2020,27,Liverpool,eng ENG,FA Cup,9th,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2020-2021,28,Liverpool,eng ENG,Community Shield,2nd,1,1,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2020-2021,28,Liverpool,eng ENG,FA Cup,17th,2,1,102,1.1,2,0,2,0,0,1,0,1.76,0.00,1.76,1.76,1.76,Matches
2021-2022,29,Liverpool,eng ENG,EFL Cup,F,1,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2021-2022,29,Liverpool,eng ENG,FA Cup,F,3,2,211,2.3,2,0,2,0,0,1,0,0.85,0.00,0.85,0.85,0.85,Matches
