Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2004-2005,16,Lyon,fr FRA,1. Ligue 1,1st,6,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2005-2006,17,Lyon,fr FRA,1. Ligue 1,1st,13,4,520,5.8,1,2,1,0,0,1,0,0.17,0.35,0.52,0.17,0.52,,,,,,,,,,Matches
2006-2007,18,Lyon,fr FRA,1. Ligue 1,1st,21,13,1156,12.8,5,2,4,1,1,0,0,0.39,0.16,0.54,0.31,0.47,,,,,,,,,,Matches
2007-2008,19,Lyon,fr FRA,1. Ligue 1,1st,36,32,2565,28.5,20,7,20,0,0,1,0,0.70,0.25,0.95,0.70,0.95,,,,,,,,,,Matches
2008-2009,20,Lyon,fr FRA,1. Ligue 1,3rd,36,31,2758,30.6,17,2,15,2,4,1,0,0.55,0.07,0.62,0.49,0.55,,,,,,,,,,Matches
2009-2010,21,Real Madrid,es ESP,1. La Liga,2nd,27,14,1312,14.6,8,3,8,0,0,0,0,0.55,0.21,0.75,0.55,0.75,,,,,,,,,,Matches
2010-2011,22,Real Madrid,es ESP,1. La Liga,2nd,33,20,1898,21.1,15,4,15,0,0,1,0,0.71,0.19,0.90,0.71,0.90,,,,,,,,,,Matches
2011-2012,23,Real Madrid,es ESP,1. La Liga,1st,34,26,2242,24.9,21,8,21,0,0,0,0,0.84,0.32,1.16,0.84,1.16,,,,,,,,,,Matches
2012-2013,24,Real Madrid,es ESP,1. La Liga,2nd,30,19,1770,19.7,11,12,11,0,0,0,0,0.56,0.61,1.17,0.56,1.17,,,,,,,,,,Matches
2013-2014,25,Real Madrid,es ESP,1. La Liga,3rd,35,34,2733,30.4,17,8,17,0,0,2,0,0.56,0.26,0.82,0.56,0.82,,,,,,,,,,Matches
2014-2015,26,Real Madrid,es ESP,1. La Liga,2nd,29,29,2278,25.3,15,11,15,0,0,1,0,0.59,0.43,1.03,0.59,1.03,,,,,,,,,,Matches
2015-2016,27,Real Madrid,es ESP,1. La Liga,2nd,27,26,1979,22.0,24,7,24,0,0,1,0,1.09,0.32,1.41,1.09,1.41,,,,,,,,,,Matches
2016-2017,28,Real Madrid,es ESP,1. La Liga,1st,29,23,1903,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76,,,,,,,,,,Matches
2017-2018,29,Real Madrid,es ESP,1. La Liga,3rd,32,25,2150,23.9,5,10,3,2,2,0,0,0.21,0.42,0.63,0.13,0.54,10.9,9.4,5.6,15.0,0.46,0.23,0.69,0.39,0.63,Matches
2018-2019,30,Real Madrid,es ESP,1. La Liga,3rd,36,35,2953,32.8,21,6,18,3,3,1,0,0.64,0.18,0.82,0.55,0.73,15.8,13.5,5.6,19.1,0.48,0.17,0.65,0.41,0.58,Matches
2019-2020,31,Real Madrid,es ESP,1. La Liga,1st,37,36,3141,34.9,21,8,16,5,5,0,0,0.60,0.23,0.83,0.46,0.69,17.4,13.6,8.4,22.0,0.50,0.24,0.74,0.39,0.63,Matches
2020-2021,32,Real Madrid,es ESP,1. La Liga,2nd,34,33,2894,32.2,23,9,22,1,1,2,0,0.72,0.28,1.00,0.68,0.96,17.7,17.0,6.3,23.2,0.55,0.20,0.75,0.53,0.72,Matches
2021-2022,33,Real Madrid,es ESP,1. La Liga,1st,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35,0.69,1.11,23.5,15.2,9.5,24.7,0.82,0.33,1.14,0.53,0.86,Matches
