Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
2021-08-07,Sat,Ligue 1,Matchweek 1,Away,W 2–1,Paris S-G,Troyes,Y,FW,89,0,1,0,0,2,0,0,0,44,11,0,1,0,0.1,0.1,0.6,5,1,24,34,70.6,0,40,5,5,8,Match Report
2021-08-14,Sat,Ligue 1,Matchweek 2,Home,W 4–2,Paris S-G,Strasbourg,Y,LWFW,90,0,2,0,0,4,2,0,0,62,7,1,0,0,0.6,0.6,0.8,6,2,31,45,68.9,4,49,12,5,9,Match Report
2021-08-20,Fri,Ligue 1,Matchweek 3,Away,W 4–2,Paris S-G,Brest,Y,FW,80,1,0,0,0,5,2,1,0,78,10,1,0,1,0.5,0.5,0.1,5,1,50,59,84.7,6,58,8,1,4,Match Report
2021-08-29,Sun,Ligue 1,Matchweek 4,Away,W 2–0,Paris S-G,Reims,Y,FW,90,2,0,0,0,5,2,0,0,56,6,0,0,1,0.7,0.7,0.0,1,0,34,41,82.9,2,40,6,2,3,Match Report
2021-09-01,Wed,WCQ,First round,Home,D 1–1,fr France,ba Bosnia and Herzegovina,Y,FW,89,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-09-11,Sat,Ligue 1,Matchweek 5,Home,W 4–0,Paris S-G,Clermont Foot,Y,FW,78,1,0,0,0,5,3,0,0,40,4,0,1,0,1.4,1.4,0.3,7,2,21,27,77.8,6,34,8,3,4,Match Report
2021-09-15,Wed,Champions Lg,Group stage,Away,D 1–1,fr Paris S-G,be Club Brugge,Y,FW,50,0,1,0,0,1,1,0,0,24,5,1,1,0,0.3,0.3,0.2,1,1,15,17,88.2,2,18,4,2,3,Match Report
2021-09-19,Sun,Ligue 1,Matchweek 6,Home,W 2–1,Paris S-G,Lyon,Y,FWAM,90,0,1,0,0,2,0,0,0,39,14,0,0,0,0.1,0.1,0.5,2,1,26,29,89.7,0,33,9,0,0,Match Report
2021-09-22,Wed,Ligue 1,Matchweek 7,Away,W 2–1,Paris S-G,Metz,Y,FWLW,90,0,0,0,0,3,1,0,0,71,5,2,0,0,0.3,0.3,0.2,6,0,45,55,81.8,7,57,16,0,2,Match Report
2021-09-25,Sat,Ligue 1,Matchweek 8,Home,W 2–0,Paris S-G,Montpellier,Y,FW,87,0,0,0,0,5,1,0,0,40,3,0,1,0,0.9,0.9,0.1,5,0,23,29,79.3,1,36,9,6,6,Match Report
2021-09-28,Tue,Champions Lg,Group stage,Home,W 2–0,fr Paris S-G,eng Manchester City,Y,FW,90,0,1,0,0,0,0,0,0,56,7,0,1,0,0.0,0.0,0.2,3,1,32,42,76.2,1,44,9,6,10,Match Report
2021-10-03,Sun,Ligue 1,Matchweek 9,Away,L 0–2,Paris S-G,Rennes,Y,FWLW,90,0,0,0,0,4,0,1,0,50,11,3,0,0,0.7,0.7,0.1,4,0,30,36,83.3,0,40,11,3,7,Match Report
2021-10-07,Thu,UEFA Nations League,Semi-finals,Neutral,W 3–2,fr France,be Belgium,Y,FW,90,1,1,1,1,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-10-10,Sun,UEFA Nations League,Final,Neutral,W 2–1,fr France,es Spain,Y,FW,90,1,1,0,0,0,0,1,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-10-15,Fri,Ligue 1,Matchweek 10,Home,W 2–1,Paris S-G,Angers,Y,LW,89,1,1,1,1,2,0,0,0,71,7,0,1,0,0.8,0.0,0.6,3,1,40,52,76.9,4,57,18,5,11,Match Report
