Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2014,21,sn Senegal,Friendlies (M),,2,1,135,1.5,1,0,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,,,,,,,,,,Matches
2014,21,sn Senegal,WCQ,,8,7,673,7.5,2,,2,0,0,1,0,0.27,,,0.27,,,,,,,,,,,Matches
2015,22,sn Senegal,Africa Cup of Nations,GR,2,2,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2015,22,sn Senegal,Friendlies (M),,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,,,,,,,,,,Matches
2015,22,sn Senegal,Africa Cup of Nations qualification,,6,5,461,5.1,2,,2,0,0,0,0,0.39,,,0.39,,,,,,,,,,,Matches
2016,23,sn Senegal,Friendlies (M),,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2017,24,sn Senegal,Africa Cup of Nations qualification,,6,6,506,5.6,3,1,3,0,0,1,0,0.53,0.18,0.71,0.53,0.71,,,,,,,,,,Matches
2017,24,sn Senegal,Africa Cup of Nations,QF,3,3,299,3.3,2,0,1,1,1,0,0,0.60,0.00,0.60,0.30,0.30,,,,,,,,,,Matches
2017,24,sn Senegal,Friendlies (M),,2,1,110,1.2,0,1,0,0,0,0,0,0.00,0.82,0.82,0.00,0.82,,,,,,,,,,Matches
2018,26,sn Senegal,1. FIFA World Cup,GR,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.7,0.7,0.3,1.0,0.22,0.11,0.34,0.22,0.34,Matches
2018,25,sn Senegal,WCQ,,7,7,626,7.0,2,2,2,0,0,2,0,0.29,0.29,0.58,0.29,0.58,,,,,,,,,,Matches
2018,25,sn Senegal,Friendlies (M),,3,3,256,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2019,26,sn Senegal,Africa Cup of Nations,2nd,6,6,570,6.3,3,1,2,1,3,2,0,0.47,0.16,0.63,0.32,0.47,,,,,,,,,,Matches
2019,26,sn Senegal,Africa Cup of Nations qualification,,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,,,,,,,,,,Matches
2019,26,sn Senegal,Friendlies (M),,2,1,103,1.1,1,1,1,0,0,0,0,0.87,0.87,1.75,0.87,1.75,,,,,,,,,,Matches
2021,28,sn Senegal,Africa Cup of Nations qualification,,6,5,424,4.7,2,2,1,1,1,1,0,0.42,0.42,0.85,0.21,0.64,,,,,,,,,,Matches
2021,28,sn Senegal,Friendlies (M),,2,2,180,2.0,2,1,0,2,2,0,0,1.00,0.50,1.50,0.00,0.50,,,,,,,,,,Matches
2021,28,sn Senegal,Africa Cup of Nations,F,7,7,639,7.1,3,0,2,1,2,1,0,0.42,0.00,0.42,0.28,0.28,,,,,,,,,,Matches
2022,29,sn Senegal,WCQ,,7,7,599,6.7,3,4,2,1,1,1,0,0.45,0.60,1.05,0.30,0.90,,,,,,,,,,Matches
2023,30,sn Senegal,Africa Cup of Nations qualification,,2,2,176,2.0,4,0,1,3,3,0,0,2.05,0.00,2.05,0.51,0.51,,,,,,,,,,Matches
